Filename,Latitude,Longitude,LSTM Prediction,ElasticNet Prediction
2024-12-07T23-53-02.019401Z_210_vnaData.s1p,-28.863383,122.527135,23.321804,59.77179646970622
2024-12-07T23-53-09.427043Z_210_vnaData.s1p,-28.863383,122.527135,16.869604,45.1898226621596
2024-12-07T23-53-21.568162Z_210_vnaData.s1p,-28.863383,122.527135,29.580654,103.38613759420464
2024-12-07T23-53-32.997713Z_210_vnaData.s1p,-28.863382,122.527136,0.32847142,56.46497208331896
2024-12-07T23-53-45.166427Z_210_vnaData.s1p,-28.863391,122.527133,12.864827,77.4114242904333
2024-12-07T23-53-56.602504Z_210_vnaData.s1p,-28.863392,122.527137,24.04695,78.17014769966059
2024-12-07T23-54-08.663255Z_210_vnaData.s1p,-28.863386,122.527137,22.384209,61.36163387844431
2024-12-07T23-54-20.084078Z_210_vnaData.s1p,-28.863386,122.527137,21.062773,72.01193662507369
2024-12-07T23-54-32.256531Z_210_vnaData.s1p,-28.863386,122.527137,42.42915,65.88600353459921
2024-12-07T23-54-43.657307Z_210_vnaData.s1p,-28.863382,122.527138,59.10796,64.83899383838381
2024-12-07T23-54-55.722935Z_210_vnaData.s1p,-28.863381,122.527137,17.24853,78.80984109443219
2024-12-07T23-55-07.196285Z_210_vnaData.s1p,-28.863381,122.527138,21.88234,64.78890118524045
2024-12-07T23-55-19.247510Z_210_vnaData.s1p,-28.863375,122.527141,22.996073,83.07728579802082
2024-12-07T23-55-30.690891Z_210_vnaData.s1p,-28.863368,122.527134,13.812087,47.69675625923475
2024-12-07T23-55-42.787164Z_210_vnaData.s1p,-28.863368,122.527134,18.3152,78.92161877260726
2024-12-07T23-55-54.322704Z_210_vnaData.s1p,-28.863374,122.527132,34.694546,88.49970508137437
2024-12-07T23-56-06.309150Z_210_vnaData.s1p,-28.863374,122.527128,36.564922,94.08556982483029
2024-12-07T23-56-17.785341Z_210_vnaData.s1p,-28.863374,122.527128,24.264008,71.54517161742281
2024-12-07T23-56-29.897806Z_210_vnaData.s1p,-28.863385,122.52714,30.529743,90.75515712017312
2024-12-07T23-56-41.439218Z_210_vnaData.s1p,-28.86339,122.527142,35.339672,77.93276972124218
2024-12-07T23-56-53.537260Z_210_vnaData.s1p,-28.86339,122.527145,36.81624,85.3615772457257
2024-12-07T23-57-05.646097Z_210_vnaData.s1p,-28.863389,122.527133,29.341785,76.32333852846114
2024-12-08T00-27-44.302137Z_210_vnaData.s1p,-28.86199,122.526888,23.92757,9.087462173243857
2024-12-08T00-27-55.709162Z_210_vnaData.s1p,-28.862015,122.526776,14.015151,-46.371970996711845
2024-12-08T00-28-19.246469Z_210_vnaData.s1p,-28.862074,122.526522,27.971626,52.4511519254828
2024-12-08T00-28-30.798242Z_210_vnaData.s1p,-28.862107,122.526403,16.743195,-26.86569838314754
2024-12-08T00-28-53.670574Z_210_vnaData.s1p,-28.862137,122.526295,38.538708,43.34096165129187
2024-12-08T00-29-05.736376Z_210_vnaData.s1p,-28.862141,122.526302,24.2947,19.643890700601187
2024-12-08T00-29-17.241304Z_210_vnaData.s1p,-28.862141,122.526302,25.173103,30.542090920252768
2024-12-08T00-29-28.679800Z_210_vnaData.s1p,-28.862141,122.526302,36.06349,42.23982483263239
2024-12-08T00-29-52.295114Z_210_vnaData.s1p,-28.86214,122.526302,38.764503,29.327489091929845
2024-12-08T00-30-03.691362Z_210_vnaData.s1p,-28.86214,122.526302,53.292313,49.87496162902478
2024-12-08T00-30-15.130618Z_210_vnaData.s1p,-28.86214,122.526302,52.355946,32.57673042547851
2024-12-08T00-30-26.660902Z_210_vnaData.s1p,-28.862139,122.526301,47.924534,33.20693663438008
2024-12-08T00-30-49.608078Z_210_vnaData.s1p,-28.862136,122.526294,55.190628,36.909531101486145
2024-12-08T00-31-12.508880Z_210_vnaData.s1p,-28.862136,122.526294,56.618744,40.689567292960675
2024-12-08T00-31-24.630273Z_210_vnaData.s1p,-28.862136,122.526294,60.50275,31.232077465872013
2024-12-08T00-31-36.154466Z_210_vnaData.s1p,-28.862137,122.526299,56.498863,44.10822114266512
2024-12-08T00-31-47.663536Z_210_vnaData.s1p,-28.862134,122.526302,45.830837,45.84127826856514
2024-12-08T00-32-10.551123Z_210_vnaData.s1p,-28.862133,122.526302,48.332314,52.01714001811845
2024-12-08T00-32-21.986802Z_210_vnaData.s1p,-28.862133,122.526302,52.36844,55.02913404064118
2024-12-08T00-32-45.500678Z_210_vnaData.s1p,-28.862132,122.526302,54.48495,64.95797423206237
2024-12-08T00-32-57.021864Z_210_vnaData.s1p,-28.862132,122.526302,53.91351,66.61759980785835
2024-12-08T00-33-19.921331Z_210_vnaData.s1p,-28.862131,122.526302,54.452415,65.02460202546024
2024-12-08T00-33-42.964915Z_210_vnaData.s1p,-28.862131,122.526302,36.65668,51.72608975355878
2024-12-08T00-34-05.844894Z_210_vnaData.s1p,-28.862132,122.526304,33.584217,50.37708804921928
