site,measurment_date,actuator_extension,permittivity,water_percentage,density,vna_filename
default,2022-05-20T06:00:24.997644Z,0.0,52.123632528632285,96.46607149347804,7.246452963634026,2022-05-20T06-00-24.997644Z_0.0_vnaData.s1p
default,2022-05-20T06:00:50.097650Z,0.0,52.45014213288094,98.43287833793714,7.142681141113498,2022-05-20T06-00-50.097650Z_0.0_vnaData.s1p
default,2022-05-20T06:01:21.560673Z,0.0,52.02026481798203,95.84341195097906,7.27993676255548,2022-05-20T06-01-21.560673Z_0.0_vnaData.s1p
default,2022-05-20T06:01:52.701593Z,0.0,52.09175959435356,96.27407743120033,7.256744639710999,2022-05-20T06-01-52.701593Z_0.0_vnaData.s1p
default,2022-05-20T06:02:23.767102Z,0.0,52.19350071426883,96.88693882458185,7.223994548997552,2022-05-20T06-02-23.767102Z_0.0_vnaData.s1p
