site,measurment_date,actuator_extension,permittivity,water_percentage,density,vna_filename
default,2022-05-20T05:51:30.996216Z,0.0,52.33002691875189,97.7093362975236,7.180508955917967,2022-05-20T05-51-30.996216Z_0.0_vnaData.s1p
default,2022-05-20T05:52:05.338378Z,0.0,52.37187010998254,97.96138853070623,7.167285910192667,2022-05-20T05-52-05.338378Z_0.0_vnaData.s1p
