measurment_date,actuator_extension,vna_filename,latitude,longitude,DNN
2024-12-07T01:51:59.115138Z,210,2024-12-07T01-51-59.115138Z_210_vnaData.s1p,-28.863746,122.527076,0
2024-12-07T01:52:10.511040Z,210,2024-12-07T01-52-10.511040Z_210_vnaData.s1p,-28.863746,122.527076,0
2024-12-07T01:52:22.615911Z,210,2024-12-07T01-52-22.615911Z_210_vnaData.s1p,-28.863746,122.527077,0
2024-12-07T01:52:34.072673Z,210,2024-12-07T01-52-34.072673Z_210_vnaData.s1p,-28.863746,122.527077,0
2024-12-07T01:52:57.679128Z,210,2024-12-07T01-52-57.679128Z_210_vnaData.s1p,-28.863746,122.527077,0
2024-12-07T01:53:09.790150Z,210,2024-12-07T01-53-09.790150Z_210_vnaData.s1p,-28.863745,122.527077,0
2024-12-07T01:53:21.250839Z,210,2024-12-07T01-53-21.250839Z_210_vnaData.s1p,-28.863745,122.527077,0
2024-12-07T01:53:45.564335Z,210,2024-12-07T01-53-45.564335Z_210_vnaData.s1p,-28.863743,122.527078,0
2024-12-07T01:53:57.095194Z,210,2024-12-07T01-53-57.095194Z_210_vnaData.s1p,-28.863743,122.527078,0
2024-12-07T01:54:21.301028Z,210,2024-12-07T01-54-21.301028Z_210_vnaData.s1p,-28.863731,122.527092,0
2024-12-07T01:54:33.447904Z,210,2024-12-07T01-54-33.447904Z_210_vnaData.s1p,-28.863724,122.527089,0
2024-12-07T01:54:45.434823Z,210,2024-12-07T01-54-45.434823Z_210_vnaData.s1p,-28.863724,122.527089,0
2024-12-07T01:54:56.903787Z,210,2024-12-07T01-54-56.903787Z_210_vnaData.s1p,-28.863723,122.527089,0
2024-12-07T01:55:09.204570Z,210,2024-12-07T01-55-09.204570Z_210_vnaData.s1p,-28.863723,122.527091,0
2024-12-07T01:55:32.677530Z,210,2024-12-07T01-55-32.677530Z_210_vnaData.s1p,-28.863722,122.527091,0
2024-12-07T01:55:44.130066Z,210,2024-12-07T01-55-44.130066Z_210_vnaData.s1p,-28.863722,122.527091,0
2024-12-07T01:55:56.235993Z,210,2024-12-07T01-55-56.235993Z_210_vnaData.s1p,-28.863722,122.527089,0
2024-12-07T01:56:07.769490Z,210,2024-12-07T01-56-07.769490Z_210_vnaData.s1p,-28.86372,122.52709,0
2024-12-07T01:56:19.832169Z,210,2024-12-07T01-56-19.832169Z_210_vnaData.s1p,-28.863724,122.527088,0
2024-12-07T01:56:31.249052Z,210,2024-12-07T01-56-31.249052Z_210_vnaData.s1p,-28.863734,122.527086,0
2024-12-07T01:56:54.795253Z,210,2024-12-07T01-56-54.795253Z_210_vnaData.s1p,-28.863739,122.527086,0
2024-12-07T01:57:06.770192Z,210,2024-12-07T01-57-06.770192Z_210_vnaData.s1p,-28.863739,122.527086,0
2024-12-07T01:57:18.281312Z,210,2024-12-07T01-57-18.281312Z_210_vnaData.s1p,-28.86374,122.527087,0
2024-12-07T01:57:41.896606Z,210,2024-12-07T01-57-41.896606Z_210_vnaData.s1p,-28.86374,122.527086,0
2024-12-07T01:57:53.868503Z,210,2024-12-07T01-57-53.868503Z_210_vnaData.s1p,-28.863742,122.52708,0
2024-12-07T01:58:17.526507Z,210,2024-12-07T01-58-17.526507Z_210_vnaData.s1p,-28.863742,122.527077,0
2024-12-07T01:58:28.908063Z,210,2024-12-07T01-58-28.908063Z_210_vnaData.s1p,-28.863742,122.527077,0
2024-12-07T01:58:41.197386Z,210,2024-12-07T01-58-41.197386Z_210_vnaData.s1p,-28.863744,122.527084,0
2024-12-07T01:58:52.509844Z,210,2024-12-07T01-58-52.509844Z_210_vnaData.s1p,-28.863742,122.527092,0
2024-12-07T01:59:16.184485Z,210,2024-12-07T01-59-16.184485Z_210_vnaData.s1p,-28.863742,122.527092,0
2024-12-07T01:59:28.288504Z,210,2024-12-07T01-59-28.288504Z_210_vnaData.s1p,-28.86374,122.527084,0
2024-12-07T01:59:51.782215Z,210,2024-12-07T01-59-51.782215Z_210_vnaData.s1p,-28.863699,122.527066,0
2024-12-07T02:00:03.321480Z,210,2024-12-07T02-00-03.321480Z_210_vnaData.s1p,-28.863628,122.527039,0
2024-12-07T02:00:26.896046Z,210,2024-12-07T02-00-26.896046Z_210_vnaData.s1p,-28.863481,122.52708,0
2024-12-07T02:00:38.965714Z,210,2024-12-07T02-00-38.965714Z_210_vnaData.s1p,-28.863417,122.527121,0
2024-12-07T02:00:50.447703Z,210,2024-12-07T02-00-50.447703Z_210_vnaData.s1p,-28.863459,122.527116,0
2024-12-07T02:01:13.909655Z,210,2024-12-07T02-01-13.909655Z_210_vnaData.s1p,-28.863437,122.527105,0
