Column1,DateTime,Default GPS,VaneSize,Depth,ShearStrenght,Result,TSF,Comments,Attachments,MachineID,Operator,Instrument,CorrectionFactor,Created,Title,Manual GPS,Modified
Amrun,31/07/2024 9:09,"-12.95726813, 141.62384721",20x40,20,20,20,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 9:09,VS,,31/07/2024 9:09
Amrun,31/07/2024 9:09,"-12.95726813, 141.62384721",20x40,50,18,18,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 9:10,VS,,31/07/2024 9:10
Amrun,31/07/2024 8:37,"-12.95777336, 141.62362145",20x40,50,12,12,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 8:37,VS,,31/07/2024 8:37
Amrun,31/07/2024 8:37,"-12.95777336, 141.62362145",20x40,80,10,10,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 8:38,VS,,31/07/2024 8:38
Amrun,31/07/2024 8:36,"-12.95777336, 141.62362145",20x40,20,16,16,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 8:37,VS,,31/07/2024 8:37
Amrun,31/07/2024 7:48,"-12.95851282, 141.62325117",20x40,80,20,20,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 7:48,VS,,31/07/2024 7:48
Amrun,31/07/2024 7:47,"-12.95851282, 141.62325117",20x40,20,14,14,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 7:47,VS,,31/07/2024 7:47
Amrun,31/07/2024 7:47,"-12.95851282, 141.62325117",20x40,50,30,30,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 7:48,VS,,31/07/2024 7:48
Amrun,31/07/2024 7:25,"-12.95933313, 141.62360584",20x40,50,24,24,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 7:25,VS,,31/07/2024 7:25
Amrun,31/07/2024 7:25,"-12.95933313, 141.62360584",20x40,80,20,20,South Cell,,0,MM43,Joe Johanson,H-60,1,31/07/2024 7:26,VS,,31/07/2024 7:26
