UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Mud Condition,Predicted Mud Condition
2025-01-17 08:31:40,-33.218025,116.067123,Unknown,0.12803941190424784
2025-01-17 08:31:15,-33.217941,116.067276,Unknown,0.16390836528588548
2025-01-17 08:30:50,-33.217854,116.067421,Unknown,-1.0465813594441742
2025-01-17 08:30:25,-33.217808,116.067505,Unknown,0.06692309772046512
2025-01-17 08:30:00,-33.21772,116.06765,Unknown,0.28577633709126293
2025-01-17 08:29:35,-33.217632,116.067802,Unknown,0.3680897501503706
2025-01-17 08:29:10,-33.217545,116.067947,Unknown,0.41639099296572923
2025-01-17 08:28:45,-33.217464,116.0681,Unknown,0.4164401890370679
2025-01-17 08:28:20,-33.217369,116.068253,Unknown,0.5246310821513516
2025-01-17 08:27:55,-33.21727,116.068413,Unknown,0.4013103441014019
2025-01-17 08:27:30,-33.217178,116.068573,Unknown,0.9456681894120704
2025-01-17 08:27:05,-33.217087,116.068726,Unknown,1.1324742031267732
2025-01-17 08:26:40,-33.217003,116.068886,Unknown,0.5930589667791331
2025-01-17 08:26:15,-33.216908,116.069038,Unknown,1.034391775811982
2025-01-17 08:25:50,-33.216846,116.069115,Unknown,-0.4582446319840203
2025-01-17 08:25:25,-33.216763,116.069275,Unknown,0.8934005090018913
2025-01-17 08:25:00,-33.216656,116.069435,Unknown,0.4692365375934682
2025-01-17 08:24:35,-33.216557,116.069595,Unknown,0.7660468689415467
2025-01-17 08:23:45,-33.216557,116.069603,Unknown,1.2248628549887286
2025-01-17 08:23:20,-33.216663,116.069443,Unknown,1.2650194580569636
2025-01-17 08:22:55,-33.216759,116.069275,Good Run (50%),1.3812183214088727
2025-01-17 08:22:30,-33.216854,116.069115,Good Run (50%),1.479796113813205
2025-01-17 08:22:05,-33.216953,116.068947,Good Run (50%),1.4079396264913768
2025-01-17 08:21:40,-33.217056,116.068771,Unknown,1.593206871447448
2025-01-17 08:21:15,-33.217144,116.068611,Good Run (50%),1.5040910321605274
2025-01-17 08:20:50,-33.217247,116.068443,Unknown,0.7660083454865907
2025-01-17 08:20:25,-33.217335,116.068275,Unknown,0.7522780441085464
2025-01-17 08:20:00,-33.217438,116.0681,Unknown,1.3312886672208428
2025-01-17 08:19:35,-33.217548,116.067932,Unknown,1.2996188681376737
2025-01-17 08:19:10,-33.217648,116.067772,Unknown,0.4289645377805211
2025-01-17 08:18:45,-33.217747,116.067596,Unknown,0.3477680301969881
2025-01-17 08:18:20,-33.21785,116.067421,Unknown,0.32277740251853215
2025-01-17 08:17:55,-33.217953,116.067238,Water/Loose (10%),0.277860097580902
2025-01-17 08:17:30,-33.218056,116.06707,Water/Loose (10%),0.3820065755820108
2025-01-17 08:17:05,-33.218159,116.066902,Water/Loose (10%),0.3740576858256417
2025-01-17 08:16:40,-33.218262,116.066734,Unknown,0.325991213607987
2025-01-17 08:16:15,-33.218365,116.066566,Water/Loose (10%),0.16933706962889694
2025-01-17 08:15:50,-33.21843,116.066467,Unknown,-0.6849742642179244
