Average of Traction_Average,Average of Engine_Torque,Average of GPS_Speed,Sum of Air_Temp_Manifold,Sum of Ambient_Air_Temp,Sum of BEARING_PRESSURE_LEFT_IDLE,Sum of BEARING_PRESSURE_RIGHT_IDLE,Sum of Boost_Pressure_Left,Sum of Boost_Pressure_Left_Voltage,Sum of Boost_Pressure_Right,Sum of Boost_Pressure_Right_Voltage,Sum of Eng_Hours,Sum of Engine_RPM,Sum of Engine_Temp,Sum of Expr1,Count of FileDetailId,Sum of G_Force_Lat,Sum of G_Force_Long,Sum of G_Force_Vert,Sum of GPS_Altitude,Sum of GPS_Heading,Sum of GPS_Sats_Used,Sum of GPS_Time,Sum of Traction_Right,Sum of Traction_Left,Sum of Traction_Diff_radio,Sum of Scroll_Speed_Right,Sum of Scroll_Speed_Left,Sum of SCROLL_REVERSE_TABLE_RIGHT,Sum of SCROLL_REVERSE_TABLE_LEFT,Sum of SCROLL_FORWARD_TABLE_RIGHT,Sum of SCROLL_FORWARD_TABLE_LEFT,Sum of RowIndex,Count of MeasurementId,Sum of Main_Hydraulic_Pressure_Right,Sum of Main_Hydraulic_Pressure_Left,Sum of JOY_STICK_RIGHT_REVERSE,Sum of JOY_STICK_RIGHT_FORWARD,Sum of JOY_STICK_LEFT_REVERSE,Sum of JOY_STICK_LEFT_FORWARD,Mud Condition
92.6999969482422,76.5999984741211,3.799999952316284,50.0,24.200000762939453,10.210000038146973,8.670000076293945,15.8100004196167,2.069999933242798,12.699999809265137,1.7599999904632568,8634.0,1968,87.0,118104,1,0.0399999991059303,0.0099999997764825,-0.0199999995529651,295.79998779296875,258.6400146484375,16,64317,88.5,96.9000015258789,0.0866873208834319,45.66999816894531,42.54999923706055,58.27000045776367,53.209999084472656,0.0,0.0,1727600,1,0.0,155.3000030517578,-91.6999969482422,-92.0,-80.30000305175781,-79.0999984741211,3
89.80000305175781,66.4000015258789,2.400000095367432,50.0,24.100000381469727,9.920000076293944,7.929999828338623,7.210000038146973,1.2100000381469729,14.609999656677246,1.950000047683716,8629.400390625,1998,87.0999984741211,118104,1,0.0299999993294477,0.0099999997764825,0.0199999995529651,305.6000061035156,55.0099983215332,17,5630,86.9000015258789,92.6999969482422,0.0625673744692961,29.790000915527344,27.59000015258789,0.0,0.0,46.59000015258789,51.63999938964844,1643400,1,122.4000015258789,187.5,58.70000076293945,63.0,73.5999984741211,73.19999694824219,2
90.4000015258789,55.29999923706055,2.400000095367432,49.0,24.200000762939453,9.65999984741211,7.960000038146973,12.579999923706056,1.75,14.5,1.940000057220459,8629.400390625,1992,87.0,118104,1,0.0199999995529651,0.0199999995529651,0.0099999997764825,304.8999938964844,57.130001068115234,16,5530,91.0999984741211,89.69999694824219,0.0153677447785754,28.239999771118164,28.36000061035156,0.0,0.0,45.560001373291016,51.06999969482422,1643100,1,118.0,157.0,55.900001525878906,60.20000076293945,72.0,71.5999984741211,2
90.8000030517578,55.20000076293945,3.299999952316284,47.0,24.299999237060547,9.65999984741211,7.949999809265137,13.84000015258789,1.870000004768372,14.510000228881836,1.940000057220459,8629.2998046875,1998,87.0,118104,1,0.0199999995529651,0.0199999995529651,0.0099999997764825,304.29998779296875,54.2599983215332,16,5310,86.0999984741211,95.5,0.0984293353495173,41.66999816894531,36.790000915527344,0.0,0.0,53.27999877929688,55.43999862670898,1642400,1,43.900001525878906,93.3000030517578,79.0999984741211,81.9000015258789,85.5,84.80000305175781,2
85.0,42.79999923706055,2.700000047683716,47.0,24.299999237060547,9.600000381469728,7.980000019073486,14.56999969482422,1.950000047683716,14.56999969482422,1.950000047683716,8629.2998046875,2004,87.0,118104,1,0.0199999995529651,0.0199999995529651,0.0,304.6000061035156,57.380001068115234,17,5250,78.69999694824219,91.4000015258789,0.138949719536283,37.0,30.479999542236328,0.0,0.0,50.22999954223633,53.66999816894531,1642300,1,80.69999694824219,74.30000305175781,70.0999984741211,73.5,80.0,79.4000015258789,0
86.9000015258789,39.70000076293945,2.900000095367432,48.0,24.299999237060547,9.56999969482422,8.0,13.869999885559082,1.8799999952316284,14.59000015258789,1.950000047683716,8629.2998046875,2004,87.0,118104,1,0.0199999995529651,0.0099999997764825,0.0,304.5,55.02000045776367,17,5230,88.30000305175781,85.5999984741211,0.0305776272290057,35.290000915527344,37.20000076293945,0.0,0.0,49.459999084472656,55.11000061035156,1642200,1,62.70000076293945,83.69999694824219,68.0,71.5,84.30000305175781,83.69999694824219,0
87.69999694824219,51.0,3.299999952316284,48.0,24.299999237060547,9.579999923706056,8.020000457763672,11.369999885559082,1.6299999952316284,14.579999923706056,1.950000047683716,8629.2998046875,1998,87.0,118104,1,0.0199999995529651,0.0,-0.0099999997764825,304.6000061035156,53.880001068115234,16,5205,86.19999694824219,89.19999694824219,0.0336322881461614,40.720001220703125,38.70000076293945,0.0,0.0,52.380001068115234,56.16999816894531,1642100,1,0.0,91.6999969482422,76.69999694824219,79.5999984741211,87.80000305175781,87.19999694824219,2
88.4000015258789,37.79999923706055,2.5,42.0,23.899999618530277,9.579999923706056,8.079999923706055,5.400000095367432,1.0199999809265137,14.65999984741211,1.9600000381469729,8629.2998046875,1998,87.0,118104,1,0.0700000002980232,0.0,-0.0199999995529651,304.79998779296875,233.47999572753903,17,4845,85.9000015258789,91.0,0.0560439392760559,31.84000015258789,29.57999992370605,49.900001525878906,45.72999954223633,0.0,0.0,1641300,1,0.0,77.0999984741211,-71.0999984741211,-70.0999984741211,-56.59999847412109,-55.09999847412109,0
89.4000015258789,52.400001525878906,2.700000047683716,48.0,23.799999237060547,9.600000381469728,7.989999771118164,12.609999656677246,1.75,14.600000381469728,1.950000047683716,8629.2001953125,1992,87.0,118104,1,0.050000000745058,0.0,0.0,306.3999938964844,238.3000030517578,17,4410,87.30000305175781,91.5,0.0459016059917178,32.9900016784668,31.32999992370605,50.43000030517578,46.119998931884766,0.0,0.0,1640200,1,0.0,98.5999984741211,-72.5999984741211,-71.80000305175781,-57.59999847412109,-56.0,2
91.6999969482422,51.400001525878906,2.900000095367432,44.0,23.799999237060547,9.579999923706056,8.029999732971191,13.479999542236328,1.840000033378601,14.579999923706056,1.950000047683716,8629.2001953125,1992,87.0,118104,1,0.050000000745058,0.0199999995529651,0.0099999997764825,305.8999938964844,232.3999938964844,17,4255,90.9000015258789,92.5,0.0172972808013091,34.04999923706055,33.290000915527344,50.560001373291016,46.90999984741211,0.0,0.0,1639900,1,0.0,103.5,-73.0,-72.19999694824219,-59.70000076293945,-58.20000076293945,2
