UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Predicted Mud Condition
18/01/2025 6:01,-12.944538,141.63768,0.4858968929672125
18/01/2025 6:00,-12.944645,141.637573,0.5642228846995945
18/01/2025 6:00,-12.944757,141.637466,0.3856585089852109
18/01/2025 5:59,-12.944872,141.637329,0.5867408404400043
18/01/2025 5:59,-12.944997,141.637192,0.290416228285572
18/01/2025 5:59,-12.945133,141.637085,0.8348016394371089
18/01/2025 5:58,-12.945253,141.636948,0.3958954954474887
18/01/2025 5:58,-12.945376,141.636826,0.5509121925347931
18/01/2025 5:57,-12.945505,141.636703,0.2857256763384226
18/01/2025 5:53,-12.945619,141.636673,-0.43290962573740677
18/01/2025 5:51,-12.94518,141.637192,-0.8387611918626474
18/01/2025 5:50,-12.944767,141.637695,-0.5894423665905419
18/01/2025 5:48,-12.94434,141.638184,1.0055274400533707
18/01/2025 5:46,-12.943974,141.638641,2.949692260116877
18/01/2025 5:45,-12.94366,141.638962,1.4761150491201758
18/01/2025 5:43,-12.943249,141.63945,1.0352433492173154
18/01/2025 5:41,-12.942893,141.639847,2.8931567472974766
18/01/2025 5:40,-12.943312,141.639343,3.3333951417770633
18/01/2025 5:38,-12.94361,141.639008,2.533503118890318
18/01/2025 5:36,-12.944038,141.638519,2.615587800890461
18/01/2025 5:35,-12.944531,141.63797,1.233244753654372
18/01/2025 5:33,-12.944962,141.637466,-0.022807254465197824
18/01/2025 5:31,-12.9453,141.63707,-0.8641128386971744
18/01/2025 5:30,-12.945675,141.636642,0.02201537179626234
18/01/2025 5:28,-12.946085,141.636169,-1.0104367475365548
18/01/2025 5:26,-12.946468,141.635727,0.3579624151525882
18/01/2025 5:25,-12.946979,141.635147,0.11160176670767341
18/01/2025 5:23,-12.947073,141.635162,-0.061739364081404347
18/01/2025 5:21,-12.946533,141.635742,0.06177738585466597
18/01/2025 5:20,-12.946074,141.636292,0.33145759318011003
18/01/2025 5:18,-12.945535,141.636932,-0.011148103244809526
18/01/2025 5:16,-12.944973,141.637589,-0.05119589227708321
18/01/2025 5:15,-12.944547,141.638077,1.0618565626392225
18/01/2025 5:13,-12.944078,141.638596,3.1944615603801156
18/01/2025 5:11,-12.943735,141.639008,1.7653714284492728
18/01/2025 5:10,-12.943332,141.639496,1.2598486885888023
18/01/2025 5:08,-12.943252,141.639572,1.2646706318245964
18/01/2025 5:06,-12.943619,141.639145,4.490134729117474
18/01/2025 5:05,-12.944063,141.638611,2.0042431855979994
18/01/2025 5:03,-12.944523,141.638077,1.4844903471489321
18/01/2025 5:01,-12.944985,141.637558,0.18268829820340104
18/01/2025 5:00,-12.945405,141.63707,-1.1196176303650254
18/01/2025 4:58,-12.945838,141.636566,0.6071961926546845
18/01/2025 4:56,-12.946268,141.636078,-0.7543665801823805
18/01/2025 4:55,-12.946713,141.635544,0.054984868500445705
18/01/2025 4:53,-12.947433,141.635406,1.5786871410668275
18/01/2025 4:51,-12.948305,141.635529,-0.2167104744580537
18/01/2025 4:50,-12.948916,141.635361,-1.4826820990444576
18/01/2025 4:48,-12.949785,141.634888,0.6619069122763592
17/01/2025 13:48,-12.950091,141.632584,0.6089140790080838
17/01/2025 13:47,-12.950038,141.632904,2.387420206861206
17/01/2025 13:45,-12.950073,141.633301,2.3981482041782227
17/01/2025 13:34,-12.945878,141.637573,0.7507112355610137
17/01/2025 13:32,-12.945128,141.638504,0.9100834113927849
17/01/2025 13:30,-12.944543,141.639236,2.2632380957715137
17/01/2025 13:29,-12.944054,141.639999,2.291011685329179
17/01/2025 13:27,-12.944027,141.640747,-0.9504761160706678
17/01/2025 13:25,-12.94373,141.6418,0.6180215565268503
17/01/2025 13:16,-12.943758,141.641617,-0.5085619889385313
17/01/2025 13:15,-12.944015,141.640823,-0.9437877228607299
17/01/2025 13:13,-12.944061,141.64006,1.0122724882226055
17/01/2025 13:11,-12.944188,141.639664,1.379439147441583
17/01/2025 13:10,-12.94494,141.638702,1.245590600367601
17/01/2025 13:08,-12.94571,141.637772,0.4695093921163296
17/01/2025 13:06,-12.946466,141.636856,0.7391513423701312
17/01/2025 13:05,-12.947238,141.635941,0.6961211918727632
17/01/2025 13:00,-12.947006,141.635513,0.07613662938720478
